,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,27-160,1997,33,33,2970,33.0,44,1.33,160,116,74.4,17,6,10,10,30.3,3,3,0,0,0.0
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28-328,1996,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32-364,1992,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,27-047,1998,19,19,1710,19.0,19,1.0,63,44,71.4,11,5,3,8,42.1,1,1,0,0,0.0
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,25-184,1999,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,34-023,1991,30,30,2700,30.0,68,2.27,173,107,64.2,3,4,23,1,3.3,7,6,1,0,14.3
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26-347,1998,4,4,360,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,2,0,0,0.0
FRA-Ligue 1,2425,Nantes,Alban Lafont,FRA,GK,26-116,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0
FRA-Ligue 1,2425,Nantes,Anthony Lopes,POR,GK,34-230,1990,18,18,1563,17.4,26,1.5,71,46,69.0,5,6,7,3,16.7,5,4,0,1,0.0
FRA-Ligue 1,2425,Nantes,Patrik Carlgren,SWE,GK,33-131,1992,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,
FRA-Ligue 1,2425,Nice,Marcin Bułka,POL,GK,25-227,1999,34,34,3060,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23-354,2001,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,26-083,1999,24,24,2091,23.2,25,1.08,74,49,67.6,18,5,1,4,16.7,1,1,0,0,0.0
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,26-083,1999,10,9,879,9.8,9,0.92,25,17,72.0,7,1,1,3,33.3,2,2,0,0,0.0
FRA-Ligue 1,2425,Reims,Yehvann Diouf,FRA,GK,25-184,1999,34,34,3060,34.0,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0
FRA-Ligue 1,2425,Rennes,Brice Samba,FRA,GK,31-024,1994,17,17,1529,17.0,27,1.59,87,58,70.1,7,0,10,5,29.4,3,1,2,0,66.7
FRA-Ligue 1,2425,Rennes,Gauthier Gallon,FRA,GK,32-026,1993,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
FRA-Ligue 1,2425,Rennes,Steve Mandanda,FRA,GK,40-052,1985,18,17,1486,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3
FRA-Ligue 1,2425,Saint-Étienne,Gautier Larsonneur,FRA,GK,28-085,1997,34,34,3060,34.0,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3
FRA-Ligue 1,2425,Strasbourg,Karl-Johan Johnsson,SWE,GK,35-111,1990,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0
FRA-Ligue 1,2425,Strasbourg,Đorđe Petrović,SRB,GK,25-223,1999,31,31,2790,31.0,38,1.23,147,110,78.9,15,8,8,10,32.3,8,7,1,0,12.5
FRA-Ligue 1,2425,Toulouse,Guillaume Restes,FRA,GK,20-069,2005,29,29,2543,28.3,36,1.27,92,58,62.0,9,7,13,8,27.6,2,1,1,0,50.0
FRA-Ligue 1,2425,Toulouse,Kjetil Haug,NOR,GK,26-341,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,
FRA-Ligue 1,2425,Toulouse,Álex Domínguez,ESP,GK,26-293,1998,1,0,19,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,27-053,1998,19,19,1710,19.0,19,1.0,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,25-221,1999,15,15,1350,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24-313,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,21-284,2003,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,39-053,1986,22,22,1980,22.0,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0.0
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,36-289,1988,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,32-104,1993,21,21,1890,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,32-007,1993,13,13,1170,13.0,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,34-036,1991,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,27-164,1997,32,32,2880,32.0,47,1.47,129,82,66.7,16,6,10,7,21.9,4,4,0,0,0.0
GER-Bundesliga,2425,Eint Frankfurt,Kauã Santos,BRA,GK,22-038,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0
GER-Bundesliga,2425,Eint Frankfurt,Kevin Trapp,GER,GK,34-315,1990,26,26,2295,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,27-187,1997,9,8,753,8.4,16,1.91,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0.0
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22-359,2002,26,26,2307,25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100.0
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,31-129,1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,27-210,1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,19-042,2006,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,37-058,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,21-132,2004,2,1,121,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,34-065,1991,33,33,2939,32.7,64,1.96,169,105,65.7,7,5,21,7,21.2,6,6,0,0,0.0
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,24-172,2000,6,6,540,6.0,15,2.5,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2425,Hoffenheim,Oliver Baumann,GER,GK,34-351,1990,28,28,2520,28.0,53,1.89,138,84,63.0,6,8,14,4,14.3,5,2,3,0,60.0
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,31-135,1994,9,9,810,9.0,19,2.11,55,36,69.1,2,2,5,0,0.0,3,2,1,0,33.3
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,26-121,1999,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,35-176,1989,29,29,2610,29.0,38,1.31,118,83,71.2,16,11,2,6,20.7,4,4,0,0,0.0
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,25-002,2000,5,5,450,5.0,5,1.0,16,12,68.8,3,1,1,3,60.0,0,0,0,0,
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23-296,2001,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,30-203,1994,32,32,2880,32.0,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20.0
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,23-082,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,35-013,1990,30,30,2631,29.2,39,1.33,137,97,73.0,12,11,7,14,46.7,3,2,1,0,33.3
GER-Bundesliga,2425,St. Pauli,Ben Alexander Voll,GER,GK,24-161,2000,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2425,St. Pauli,Nikola Vasilj,BIH,GK,29-168,1995,33,33,2969,33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,28-231,1996,34,34,3060,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32-351,1992,6,6,540,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,32-288,1992,28,28,2520,28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29-311,1995,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,26-131,1999,29,29,2585,28.7,49,1.71,137,88,65.7,9,7,13,5,17.2,3,2,1,0,33.3
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31-311,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,31-013,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24-322,2000,33,33,2970,33.0,31,0.94,119,90,75.6,19,7,7,13,39.4,2,2,0,0,0.0
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,37-093,1988,3,3,270,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,25-189,1999,11,10,966,10.7,11,1.02,21,10,52.4,5,2,3,4,40.0,1,1,0,0,0.0
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,34-014,1991,27,27,2364,26.3,33,1.26,82,50,61.0,11,12,4,8,29.6,2,1,1,0,50.0
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,27-155,1997,6,6,540,6.0,9,1.5,25,16,64.0,1,2,3,1,16.7,0,0,0,0,
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,23-267,2001,18,18,1620,18.0,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0.0
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28-353,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,28-121,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29-345,1995,18,18,1620,18.0,19,1.06,65,46,73.8,8,4,6,5,27.8,2,2,0,0,0.0
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,42-261,1982,11,11,990,11.0,13,1.18,38,25,68.4,3,4,4,2,18.2,1,1,0,0,0.0
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,27-007,1998,31,31,2790,31.0,43,1.39,123,79,65.9,6,12,13,6,19.4,3,1,1,1,50.0
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,20-091,2005,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,34-078,1991,5,5,450,5.0,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0,
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,34-193,1990,34,34,3060,34.0,36,1.06,132,95,73.5,18,5,11,11,32.4,3,1,2,0,66.7
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,35-072,1990,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,33-108,1992,1,1,90,1.0,2,2.0,10,8,80.0,0,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,32-091,1993,29,29,2610,29.0,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0,25.0
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,30-062,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,29-088,1996,36,36,3240,36.0,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1,33.3
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,30-132,1995,1,1,90,1.0,1,1.0,6,5,83.3,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26-357,1998,5,5,450,5.0,3,0.6,14,11,78.6,4,1,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,36-153,1988,32,32,2880,32.0,32,1.0,112,80,74.1,19,8,5,12,37.5,4,3,1,0,25.0
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,32-190,1992,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27-296,1997,32,32,2880,32.0,30,0.94,98,68,74.5,15,13,4,14,43.8,5,5,0,0,0.0
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,23-244,2001,8,8,720,8.0,6,0.75,24,18,75.0,3,5,0,4,50.0,0,0,0,0,
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,31-063,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,30-037,1995,37,37,3330,37.0,58,1.57,174,118,71.3,7,10,20,8,21.6,10,8,1,1,11.1
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,33-009,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29-320,1995,36,36,3204,35.6,41,1.15,134,95,70.1,16,9,11,11,30.6,2,1,1,0,50.0
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,23-260,2001,8,7,654,7.3,15,2.06,32,18,53.1,1,2,4,1,14.3,0,0,0,0,
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,23-256,2001,30,30,2676,29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,28-058,1997,33,33,2915,32.4,25,0.77,83,58,71.1,20,9,4,15,45.5,4,1,2,1,66.7
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,23-267,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28-353,1996,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,35-053,1990,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,22-271,2002,35,35,3150,35.8,51,1.46,146,97,68.5,6,15,15,7,20.0,5,5,0,0,0.0
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,25-265,1999,37,37,3330,37.0,35,0.95,147,113,78.9,19,9,9,15,40.5,4,4,0,0,0.0
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,32-263,1992,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,28-088,1997,36,36,3240,36.0,40,1.11,168,126,77.4,10,14,12,10,27.8,6,2,4,0,66.7
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,39-206,1985,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,25-264,1999,24,24,2160,24.0,37,1.54,99,65,66.7,6,4,14,4,16.7,5,4,0,1,0.0
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22-332,2002,12,12,1080,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,23-083,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27-356,1997,14,14,1260,14.0,15,1.07,60,45,78.3,2,7,5,4,28.6,2,2,0,0,0.0
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,32-059,1993,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0
